run_id,use_case,algorithm,reported_role,package_model_path,model_provenance,exact_generated_sources,point_predictions,execution_log,verified_manifest
river-flow-lstm,River flow,LSTM,reported-causal-audit,runs/river-flow-lstm/model/RiverForecastLSTMComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
river-flow-gru,River flow,GRU,reported-causal-audit,runs/river-flow-gru/model/RiverForecastGRUComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
smart-home-arima,Smart Energy,"ARIMA(1,1,1)",reported-causal-audit,runs/smart-home-arima/model/SmartHomeARIMAComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
smart-home-holt-winters,Smart Energy,"Holt-Winters, period 60",reported-causal-audit,runs/smart-home-holt-winters/model/SmartHomeHoltWintersComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
solar-power-xgboost,Solar power,XGBoost,reported-causal-audit,runs/solar-power-xgboost/model/SolarXGBoostComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
solar-power-prophet,Solar power,Prophet,reported-causal-audit,runs/solar-power-prophet/model/SolarProphetComponent.thingml,final-chapter-5-thesis-transcribed,missing,missing,missing,missing
